,country_name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
252,Nepal,2019,5.448724747,8.282169342,0.772273064,61.29999924,0.790347695,0.156366482,0.711842477,0.443902969,0.357100308,0.631985188
253,Nepal,2020,5.982410431,8.24277401,0.787215233,61.57500076,0.771715939,0.138915062,0.811892331,0.479671746,0.336939007,0.468227863
254,Nepal,2021,4.622300148,8.242314339,0.698646426,61.84999847,0.817544639,0.149796292,0.769947886,0.414381087,0.35387665,0.617541671
255,Netherlands,2017,7.458965302,10.91669846,0.936501324,71.25,0.920319736,0.248094365,0.363133639,0.729161143,0.184519842,0.669553638
256,Netherlands,2018,7.463097095,10.93419456,0.939443171,71.32499695,0.919985175,0.159291357,0.370557785,0.747976542,0.204794183,0.656541049
257,Netherlands,2019,7.42526865,10.94701099,0.941477478,71.40000153,0.88559252,0.210272476,0.360068113,0.728164434,0.230502278,0.616572261
258,Netherlands,2020,7.504447937,10.90274906,0.943956137,71.47499847,0.934522629,0.148469806,0.280604511,0.690658092,0.246511325,0.780745983
259,Netherlands,2021,7.314151287,10.93984699,0.918759406,71.55000305,0.85629344,0.269323587,0.396572888,0.714353323,0.201159164,0.584738791
260,New Zealand,2017,7.32718277,10.65219498,0.95492065,70.05000305,0.942279458,0.290355921,0.221887484,0.762818158,0.171716571,0.609015465
261,New Zealand,2018,7.370285988,10.66583729,0.953862727,70.125,0.94930017,0.116996057,0.206580222,0.785058856,0.16795145,0.64246124
262,New Zealand,2019,7.205174446,10.6661129,0.938821197,70.19999695,0.912042379,0.154316828,0.233831227,0.765042603,0.19117637,0.67520082
263,New Zealand,2020,7.257381916,10.66370201,0.951990783,70.27500153,0.918154597,0.118302144,0.282767951,0.795894742,0.208541051,0.628641069
264,New Zealand,2021,7.13670063,10.68897343,0.949832201,70.34999847,0.910249829,0.219341666,0.252423555,0.747143626,0.206175357,0.634897828
265,Nicaragua,2017,6.476356506,8.700183868,0.83804369,65.34999847,0.922162771,0.009570536,0.672963321,0.793321192,0.308447897,0.590425193
266,Nicaragua,2018,5.81895256,8.653413773,0.854276538,65.42500305,0.797056854,0.008089165,0.712824762,0.742867589,0.408349842,0.343466878
267,Nicaragua,2019,6.112545013,8.603676796,0.873863935,65.5,0.882678449,0.028150577,0.62198174,0.790255427,0.337012976,0.514429927
268,Nicaragua,2020,6.28689003,8.571700096,0.855702758,65.57499695,0.817625225,0.040930137,0.631003439,0.775327206,0.315903068,0.50515604
269,Nicaragua,2021,6.095348835,8.61372757,0.848263025,65.65000153,0.904980481,0.026981786,0.674668729,0.798928738,0.292643428,0.589501441
270,Nigeria,2017,5.321928024,8.5545578,0.733468533,53.75,0.825905561,0.123873875,0.834891975,0.682211101,0.235968769,0.558790743
271,Nigeria,2018,5.252288342,8.547737122,0.740854204,54.07500076,0.789881051,-0.010612354,0.865602672,0.761656404,0.256469876,0.45174095
272,Nigeria,2019,4.266484261,8.543931961,0.734995186,54.40000153,0.746269286,0.022977227,0.873035729,0.698242903,0.229003847,0.399433285
273,Nigeria,2020,5.502948284,8.500396729,0.739289463,54.72499847,0.713061512,0.097834267,0.912774444,0.737175941,0.315886825,0.309500486
274,Nigeria,2021,4.47926569,8.49864006,0.741560102,55.04999924,0.725732863,0.052173574,0.911945105,0.666297317,0.188105255,0.252334535
275,North Macedonia,2017,5.233866692,9.661827087,0.79995513,65.69999695,0.752106607,-0.061115041,0.855697274,0.446869999,0.299390584,0.442916453
276,North Macedonia,2018,5.239834785,9.689399719,0.84891516,65.90000153,0.744800925,-0.043783113,0.909934342,0.511837602,0.298352867,0.396141589
277,North Macedonia,2019,5.015485287,9.727529526,0.814638495,66.09999847,0.724710405,0.021708572,0.922597229,0.515054047,0.303605884,0.265988678
278,North Macedonia,2020,5.053664207,9.676046371,0.750374198,66.30000305,0.787284732,0.130754411,0.877421141,0.541942358,0.365126073,0.324631155
279,North Macedonia,2021,5.534749985,9.71719265,0.808856964,66.5,0.79296577,0.192517072,0.884325325,0.563352823,0.303365707,0.359121591
280,Norway,2017,7.578744888,11.06743145,0.950127661,71.30000305,0.953016818,0.232319728,0.249711379,0.800106227,0.202913806,0.717159748
281,Norway,2018,7.444262028,11.07195663,0.965961933,71.34999847,0.960429013,0.090104721,0.268201441,0.78560704,0.21186237,0.679502964
282,Norway,2019,7.442139626,11.07368851,0.941784024,71.40000153,0.954044461,0.10694553,0.270571798,0.781727433,0.195486501,0.597986996
283,Norway,2020,7.290032387,11.06011295,0.955979943,71.44999695,0.964561105,0.071051814,0.271083295,0.777274728,0.216033921,0.829234183
284,Norway,2021,7.361573696,11.09462643,0.947877407,71.5,0.936379194,0.169224352,0.263276964,0.769433558,0.20719704,0.773523211
285,Peru,2017,5.710936546,9.434005737,0.830123365,69.15000153,0.826552153,-0.155653507,0.895384133,0.767763197,0.393873721,0.254595339
286,Peru,2018,5.679661274,9.455747604,0.84530139,69.32499695,0.829641998,-0.179791257,0.906244636,0.783017695,0.380032867,0.202403098
287,Peru,2019,5.999381542,9.461386681,0.809075952,69.5,0.814805925,-0.131083593,0.873601913,0.793809652,0.374985486,0.230489925
288,Peru,2020,4.994379044,9.329087257,0.748887837,69.67500305,0.805973649,-0.090145819,0.911601484,0.736464798,0.481483608,0.170750022
289,Peru,2021,5.694317818,9.44045639,0.818539441,69.84999847,0.811777532,-0.085864142,0.879913747,0.783769429,0.368650228,0.30032289
290,Philippines,2017,5.594270229,9.002192497,0.851028562,61.95000076,0.925703108,-0.142278239,0.711165547,0.753483713,0.340621501,0.83773005
291,Philippines,2018,5.869172573,9.049717903,0.845803261,61.97499847,0.917808175,-0.108887583,0.726483345,0.75618434,0.393481076,0.802007139
292,Philippines,2019,6.267745018,9.095459938,0.84509474,62.0,0.909598589,-0.083605275,0.748442113,0.764526367,0.340569496,0.79500258
293,Philippines,2020,5.079585075,8.981377602,0.781140387,62.02500153,0.932041705,-0.110693514,0.744283676,0.792735636,0.326889008,0.802727103
294,Philippines,2021,5.96505785,9.020073891,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687
295,Poland,2017,6.201268196,10.31110001,0.881854117,68.34999847,0.830842614,-0.12366733,0.639479935,0.565854669,0.203387797,0.502480447
296,Poland,2018,6.111485004,10.3632555,0.863444209,68.52500153,0.870215118,-0.256396353,0.720451355,0.622175872,0.176010624,0.427517712
297,Poland,2019,6.24209404,10.40985775,0.878268242,68.69999695,0.882885754,-0.23313646,0.696057379,0.612847447,0.168089688,0.497986019
298,Poland,2020,6.139455318,10.38451004,0.95317173,68.875,0.767428696,-0.009690654,0.786873639,0.677396119,0.328937918,0.273116618
299,Poland,2021,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654
300,Portugal,2017,5.711499214,10.40561676,0.899984837,70.75,0.905065656,-0.177985847,0.880970538,0.607893229,0.294272572,0.501088142
301,Portugal,2018,5.919822693,10.43531322,0.887113273,70.875,0.877404213,-0.263653696,0.87972784,0.645731986,0.317994744,0.520630658
302,Portugal,2019,6.095473289,10.46154976,0.876082599,71.0,0.8823511,-0.236410558,0.915165603,0.675313532,0.299874753,0.43560499
303,Portugal,2020,5.767792225,10.37147236,0.874990344,71.125,0.91313076,-0.240306079,0.867157161,0.613749206,0.382812679,0.614669442
304,Portugal,2021,6.183014393,10.41631794,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.628748119,0.284006834,0.576186419
305,Romania,2017,6.089904785,10.20883465,0.811240137,66.55000305,0.838586688,-0.161676064,0.925658047,0.632110655,0.230836198,0.298341334
306,Romania,2018,6.150878906,10.25848293,0.81793046,66.67500305,0.84515959,-0.219323963,0.921170175,0.648865998,0.298453927,0.226351306
307,Romania,2019,6.129942417,10.30478001,0.841905951,66.80000305,0.84754318,-0.223447934,0.954130709,0.604940474,0.243659228,0.160088375
308,Romania,2020,6.785142422,10.26910686,0.869008839,66.92500305,0.863305271,-0.156541392,0.91769141,0.667786896,0.25570637,0.23219794
309,Romania,2021,6.548725605,10.33434677,0.834509134,67.05000305,0.870957971,-0.182472154,0.928280115,0.673982322,0.264397413,0.192293614
310,Russia,2017,5.578742981,10.16301918,0.896151304,63.45000076,0.73087424,-0.146716699,0.861590207,0.650563896,0.194560528,0.556597233
311,Russia,2018,5.513500214,10.19078541,0.908726096,63.82500076,0.7292822,-0.149111703,0.865311563,0.615011394,0.198796302,0.45583874
312,Russia,2019,5.440523624,10.21135998,0.910098851,64.19999695,0.714766085,-0.118029267,0.847705066,0.632024169,0.200421557,0.436963826
313,Russia,2020,5.495288849,10.18325329,0.887020171,64.57499695,0.714466453,-0.074105181,0.823047519,0.620991707,0.189521536,0.477703661
314,Russia,2021,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,0.058407594,0.807839274,0.590086401,0.1900727,0.45699209
315,Senegal,2017,4.683024883,8.072126389,0.743759334,58.79999924,0.686937034,-0.04353426,0.825241864,0.75147438,0.290836066,0.61072278
316,Senegal,2018,4.769377232,8.104548454,0.739354789,59.09999847,0.629223466,-0.073555678,0.80477947,0.724179924,0.247074723,0.588927925
317,Senegal,2019,5.488736629,8.120131493,0.687614083,59.40000153,0.758841753,-0.018155394,0.79567343,0.768190622,0.331925839,0.638033628
318,Senegal,2020,4.756773472,8.107923508,0.620670676,59.70000076,0.797190309,-0.045522649,0.855092525,0.815910876,0.268333048,0.573285639
